"partId","slot","category","source_relative_path","originalCode","originalName","model_path","vertices","triangles","tier","displayName","needsNameReview","modelExists","playableStatus","baseHp","baseAttackSpeed","baseMoveRange","attackDamage","attackSpeed","range","hpBonus","moveRange","anchorRange"
"nova_fire_arm74_lshdtower","Firepower","UnitParts/ArmWeapons","datan\common\arm74_lshdtower.gx","3074","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm74_lshdtower_2fb1a076.obj","316","191","1","Arm74 Lshdtower","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_arm75_rshdtower","Firepower","UnitParts/ArmWeapons","datan\common\arm75_rshdtower.gx","3075","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm75_rshdtower_064eff20.obj","316","191","1","Arm75 Rshdtower","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_arm76_orns","Firepower","UnitParts/ArmWeapons","datan\common\arm76_orns.gx","3076","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm76_orns_0e2c75e5.obj","356","404","4","Arm76 Orns","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_arm77_osdor","Firepower","UnitParts/ArmWeapons","datan\common\arm77_osdor.gx","3077","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm77_osdor_357035d7.obj","696","502","5","Arm77 Osdor","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_arm78_rdoot","Firepower","UnitParts/ArmWeapons","datan\common\arm78_rdoot.gx","3078","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm78_rdoot_a5e758cd.obj","954","546","5","Arm78 Rdoot","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_arm79_snop","Firepower","UnitParts/ArmWeapons","datan\common\arm79_snop.gx","3079","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm79_snop_6cf17a91.obj","655","617","5","Arm79 Snop","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_arm80_opkrs","Firepower","UnitParts/ArmWeapons","datan\common\arm80_opkrs.gx","3080","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm80_opkrs_4f585881.obj","185","121","1","Arm80 Opkrs","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_arm81_rtro","Firepower","UnitParts/ArmWeapons","datan\common\arm81_rtro.gx","3081","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm81_rtro_5b428409.obj","308","180","1","Arm81 Rtro","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_arm9_omg","Firepower","UnitParts/ArmWeapons","datan\common\arm9_omg.gx","3009","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm9_omg_ca67501c.obj","154","158","1","Arm9 Omg","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_g_arm93_rtro","Firepower","UnitParts/ArmWeapons","datan\common\g_arm93_rtro.gx","3093","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm93_rtro_f416628c.obj","308","180","1","G Arm93 Rtro","False","True","generated","","","","24","1.32","4.75","","",""
"nova_fire_g_arm94_rdoot","Firepower","UnitParts/ArmWeapons","datan\common\g_arm94_rdoot.gx","3094","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm94_rdoot_4fcdfa0d.obj","954","546","5","G Arm94 Rdoot","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_g_arm95_sppoo","Firepower","UnitParts/ArmWeapons","datan\common\g_arm95_sppoo.gx","3095","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm95_sppoo_e264d51a.obj","705","386","4","G Arm95 Sppoo","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_g_arm96_snop","Firepower","UnitParts/ArmWeapons","datan\common\g_arm96_snop.gx","3096","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm96_snop_a7da7dc8.obj","655","617","5","G Arm96 Snop","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_g_arm97_rkog","Firepower","UnitParts/ArmWeapons","datan\common\g_arm97_rkog.gx","3097","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm97_rkog_6bb685ea.obj","628","394","4","G Arm97 Rkog","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_s_arm48_nmsz","Firepower","UnitParts/ArmWeapons","datan\common\s_arm48_nmsz.gx","3048","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm48_nmsz_03b0ea0b.obj","234","199","2","S Arm48 Nmsz","False","True","generated","","","","32","1.19","5.5","","",""
"nova_fire_s_arm49_rkog","Firepower","UnitParts/ArmWeapons","datan\common\s_arm49_rkog.gx","3049","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm49_rkog_525451bc.obj","628","394","4","S Arm49 Rkog","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_s_arm51_roz","Firepower","UnitParts/ArmWeapons","datan\common\s_arm51_roz.gx","3051","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm51_roz_6ed5f51f.obj","246","260","2","S Arm51 Roz","False","True","generated","","","","32","1.19","5.5","","",""
"nova_fire_ss0_arm82_msg","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm82_msg.GX","3082","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm82_msg_8721b685.obj","660","422","4","Ss0 Arm82 Msg","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_ss0_arm83_amg","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm83_amg.GX","3083","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm83_amg_06c70060.obj","672","413","4","Ss0 Arm83 Amg","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_ss0_arm84_skoob","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm84_skoob.GX","3084","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm84_skoob_5de01f91.obj","798","472","4","Ss0 Arm84 Skoob","False","True","generated","","","","48","0.93","7","","",""
"nova_fire_ss0_arm85_sppoo","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm85_sppoo.GX","3085","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm85_sppoo_30c6898f.obj","1434","798","5","Ss0 Arm85 Sppoo","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm86_hmsk","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm86_hmsk.GX","3086","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm86_hmsk_db701dfd.obj","1408","800","5","Ss0 Arm86 Hmsk","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm87_dbkr","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm87_dbkr.GX","3087","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm87_dbkr_180391aa.obj","1292","804","5","Ss0 Arm87 Dbkr","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm88_orns","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm88_orns.GX","3088","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm88_orns_52e955fd.obj","1967","1211","5","Ss0 Arm88 Orns","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm89_bnso","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm89_bnso.GX","3089","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm89_bnso_d7d0e9d9.obj","1197","696","5","Ss0 Arm89 Bnso","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm90_skokr","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm90_skokr.GX","3090","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm90_skokr_dd8fb43a.obj","2088","1248","5","Ss0 Arm90 Skokr","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm91_snop","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm91_snop.GX","3091","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm91_snop_365f7d38.obj","860","656","5","Ss0 Arm91 Snop","False","True","generated","","","","56","0.8","7.75","","",""
"nova_fire_ss0_arm92_ons","Firepower","UnitParts/ArmWeapons","datan\common\ss0_arm92_ons.GX","3092","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_ss0_arm92_ons_787a65af.obj","1262","780","5","Ss0 Arm92 Ons","False","True","generated","","","","56","0.8","7.75","","",""
"nova_frame_body101","Frame","UnitParts/Bodies","datan\common\body101.gx","2101","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body101_525c056c.obj","148","99","2","Body101","False","True","generated","510","1.15","4","","","","","",""
"nova_frame_body114","Frame","UnitParts/Bodies","datan\common\body114.gx","2114","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body114_8b682541.obj","78","50","1","Body114","False","True","generated","465","1.2","4","","","","","",""
"nova_frame_body29_onms","Frame","UnitParts/Bodies","datan\common\body29_onms.gx","2029","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body29_onms_1e41cf45.obj","288","140","3","Body29 Onms","False","True","generated","555","1.1","4","","","","","",""
"nova_frame_body30_ozs","Frame","UnitParts/Bodies","datan\common\body30_ozs.gx","2030","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body30_ozs_fbb4c433.obj","258","144","3","Body30 Ozs","False","True","generated","555","1.1","4","","","","","",""
"nova_frame_body31_poms","Frame","UnitParts/Bodies","datan\common\body31_poms.gx","2031","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body31_poms_bdd1ace2.obj","268","176","4","Body31 Poms","False","True","generated","600","1.05","4","","","","","",""
"nova_frame_body33_hmt","Frame","UnitParts/Bodies","datan\common\body33_hmt.gx","2033","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body33_hmt_653b38c3.obj","90","56","1","Body33 Hmt","False","True","generated","465","1.2","4","","","","","",""
"nova_frame_body34_xxx","Frame","UnitParts/Bodies","datan\common\body34_xxx.gx","2034","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body34_xxx_2d3c9194.obj","62","78","1","Body34 Xxx","False","True","generated","465","1.2","4","","","","","",""
"nova_frame_body51_pomsx","Frame","UnitParts/Bodies","datan\common\body51_pomsx.gx","2051","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body51_pomsx_7793cd4c.obj","19","20","1","Body51 Pomsx","False","True","generated","465","1.2","4","","","","","",""
"nova_frame_body52_onmsx","Frame","UnitParts/Bodies","datan\common\body52_onmsx.gx","2052","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body52_onmsx_9b8c6164.obj","56","92","2","Body52 Onmsx","False","True","generated","510","1.15","4","","","","","",""
"nova_frame_body53_ozsx","Frame","UnitParts/Bodies","datan\common\body53_ozsx.gx","2053","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body53_ozsx_6ec83a29.obj","36","52","1","Body53 Ozsx","False","True","generated","465","1.2","4","","","","","",""
"nova_frame_body54_ooto","Frame","UnitParts/Bodies","datan\common\body54_ooto.gx","2054","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body54_ooto_e69d99af.obj","900","408","5","Body54 Ooto","False","True","generated","645","1","4","","","","","",""
"nova_frame_body55_sqk","Frame","UnitParts/Bodies","datan\common\body55_sqk.gx","2055","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body55_sqk_7d042786.obj","250","157","3","Body55 Sqk","False","True","generated","555","1.1","4","","","","","",""
"nova_frame_body56_brk","Frame","UnitParts/Bodies","datan\common\body56_brk.gx","2056","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body56_brk_68f1b1b0.obj","365","309","5","Body56 Brk","False","True","generated","645","1","4","","","","","",""
"nova_frame_body57_kpk","Frame","UnitParts/Bodies","datan\common\body57_kpk.gx","2057","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body57_kpk_a9410f0b.obj","342","308","5","Body57 Kpk","False","True","generated","645","1","4","","","","","",""
"nova_frame_body58_scrs","Frame","UnitParts/Bodies","datan\common\body58_scrs.gx","2058","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body58_scrs_af595b28.obj","124","118","2","Body58 Scrs","False","True","generated","510","1.15","4","","","","","",""
"nova_frame_body59_hrot","Frame","UnitParts/Bodies","datan\common\body59_hrot.gx","2059","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body59_hrot_044b421d.obj","175","143","3","Body59 Hrot","False","True","generated","555","1.1","4","","","","","",""
"nova_frame_body60_optr","Frame","UnitParts/Bodies","datan\common\body60_optr.gx","2060","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body60_optr_c58723e6.obj","323","211","4","Body60 Optr","False","True","generated","600","1.05","4","","","","","",""
"nova_frame_body61_bsk","Frame","UnitParts/Bodies","datan\common\body61_bsk.gx","2061","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body61_bsk_9289485e.obj","211","204","4","Body61 Bsk","False","True","generated","600","1.05","4","","","","","",""
"nova_frame_body62_cmd","Frame","UnitParts/Bodies","datan\common\body62_cmd.gx","2062","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body62_cmd_0c0ed0dd.obj","246","226","5","Body62 Cmd","False","True","generated","645","1","4","","","","","",""
"nova_frame_body63_vts","Frame","UnitParts/Bodies","datan\common\body63_vts.gx","2063","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_body63_vts_e32b48a2.obj","324","315","5","Body63 Vts","False","True","generated","645","1","4","","","","","",""
"nova_frame_g_body66_brk","Frame","UnitParts/Bodies","datan\common\g_body66_brk.gx","2066","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_g_body66_brk_3ae1c994.obj","365","309","5","G Body66 Brk","False","True","generated","645","1","4","","","","","",""
"nova_frame_g_body67_ktn","Frame","UnitParts/Bodies","datan\common\g_body67_ktn.gx","2067","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_g_body67_ktn_3c7bc0d9.obj","405","321","5","G Body67 Ktn","False","True","generated","645","1","4","","","","","",""
"nova_frame_g_body68_vts","Frame","UnitParts/Bodies","datan\common\g_body68_vts.gx","2068","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_g_body68_vts_bbcb4ca1.obj","324","315","5","G Body68 Vts","False","True","generated","645","1","4","","","","","",""
"nova_frame_g_body69_kpk","Frame","UnitParts/Bodies","datan\common\g_body69_kpk.gx","2069","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_g_body69_kpk_01970fff.obj","342","308","5","G Body69 Kpk","False","True","generated","645","1","4","","","","","",""
"nova_frame_n_body45_scro","Frame","UnitParts/Bodies","datan\common\n_body45_scro.gx","2045","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_n_body45_scro_0f43c585.obj","126","120","3","N Body45 Scro","False","True","generated","555","1.1","4","","","","","",""
"nova_frame_n_body46_spd","Frame","UnitParts/Bodies","datan\common\n_body46_spd.gx","2046","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_n_body46_spd_0a42ac2a.obj","241","223","4","N Body46 Spd","False","True","generated","600","1.05","4","","","","","",""
"nova_frame_ss0_body64_prt","Frame","UnitParts/Bodies","datan\common\ss0_body64_prt.GX","2064","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_ss0_body64_prt_5b4047be.obj","207","186","4","Ss0 Body64 Prt","False","True","generated","600","1.05","4","","","","","",""
"nova_frame_ss0_body65_brk","Frame","UnitParts/Bodies","datan\common\ss0_body65_brk.GX","2065","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Bodies/datan_common_ss0_body65_brk_d425d7cb.obj","1729","858","5","Ss0 Body65 Brk","False","True","generated","645","1","4","","","","","",""
"nova_mob_g_legs35_prg","Mobility","UnitParts/Legs","datan\common\g_legs35_prg.gx","1035","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs35_prg_45c62bcc.obj","436","376","3","G Legs35 Prg","False","True","generated","","","","","","","230","4.55","4.55"
"nova_mob_g_legs36_oprd","Mobility","UnitParts/Legs","datan\common\g_legs36_oprd.gx","1036","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_g_legs36_oprd_c566bbe7.obj","325","464","4","G Legs36 Oprd","False","True","generated","","","","","","","280","4","4"
"nova_mob_legs112","Mobility","UnitParts/Legs","datan\common\legs112.gx","1022","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs112_d88263df.obj","166","110","1","Legs112","False","True","generated","","","","","","","130","5.65","5.65"
"nova_mob_legs19_tower","Mobility","UnitParts/Legs","datan\common\legs19_tower.gx","1019","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs19_tower_86c6ea02.obj","336","174","1","Legs19 Tower","False","True","generated","","","","","","","130","5.65","5.65"
"nova_mob_legs26_tower","Mobility","UnitParts/Legs","datan\common\legs26_tower.gx","1026","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs26_tower_471d1792.obj","244","162","1","Legs26 Tower","False","True","generated","","","","","","","130","5.65","5.65"
"nova_mob_legs47_tower2","Mobility","UnitParts/Legs","datan\common\legs47_tower2.gx","1047","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs47_tower2_1ec3c768.obj","194","136","1","Legs47 Tower2","False","True","generated","","","","","","","130","5.65","5.65"
"nova_mob_legs48_tower2","Mobility","UnitParts/Legs","datan\common\legs48_tower2.gx","1048","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs48_tower2_9feb06d6.obj","24","12","1","Legs48 Tower2","False","True","generated","","","","","","","130","5.65","5.65"
"nova_mob_legs54_ros","Mobility","UnitParts/Legs","datan\common\legs54_ros.gx","1506","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_legs54_ros_0c3d6adf.obj","579","472","4","Legs54 Ros","False","True","generated","","","","","","","280","4","4"
"nova_mob_n_legs43_ptr","Mobility","UnitParts/Legs","datan\common\n_legs43_ptr.gx","1043","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_n_legs43_ptr_b131512f.obj","98","128","1","N Legs43 Ptr","False","True","generated","","","","","","","130","5.65","5.65"
"nova_mob_ss0_legs55_krz","Mobility","UnitParts/Legs","datan\common\ss0_legs55_krz.GX","1507","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_ss0_legs55_krz_fa5d3655.obj","338","270","2","Ss0 Legs55 Krz","False","True","generated","","","","","","","180","5.1","5.1"
"nova_mob_ss0_legs56_otrs","Mobility","UnitParts/Legs","datan\common\ss0_legs56_otrs.GX","1508","","Assets/Art/Nova1492/GXConverted/Models/UnitParts/Legs/datan_common_ss0_legs56_otrs_721627ae.obj","1947","1294","5","Ss0 Legs56 Otrs","False","True","generated","","","","","","","330","3.45","3.45"
